FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Raleigh-Cary, NC",39580,26.2,32.5,21.0,38.0,44.0,29.0,27.7,50.7,63.1,42.1,34.8,55.9,39.4,57.8,51.5,54.2,21.3,24.9,26.6,23.1,15.1,8.0,26.6,12.4,15.0,15.0,Data
"Birmingham-Hoover, AL",13820,15.6,36.7,29.9,48.9,35.3,44.4,70.1,66.5,58.4,47.6,68.6,55.2,60.5,47.2,53.9,58.4,14.1,40.7,12.4,30.1,6.2,7.1,8.0,15.0,8.9,12.4,Data
"Salt Lake City, UT",41620,67.0,92.8,72.7,110.9,130.5,89.5,120.8,112.6,182.1,138.2,157.4,163.7,150.2,175.4,151.3,193.8,47.8,40.7,50.4,39.8,35.4,23.9,31.9,20.3,15.1,30.2,Data
"Rochester, NY",40380,7.7,16.4,1.0,18.4,9.7,6.8,10.7,20.4,13.6,18.4,13.6,11.6,10.6,9.7,15.5,11.6,3.9,7.7,17.4,1.9,4.8,2.9,4.8,4.8,3.8,4.7,Data
"Tucson, AZ",46060,12.6,29.5,11.3,22.6,41.0,40.0,62.2,40.1,37.1,36.1,39.6,45.6,53.5,58.4,72.5,56.9,19.6,8.8,31.4,17.6,11.8,9.8,11.8,16.7,11.2,8.2,Data
"Honolulu, HI",26180,12.2,12.2,13.3,18.8,24.4,26.6,17.8,42.3,70.1,46.7,37.7,56.5,24.4,38.8,37.5,51.8,13.2,13.2,25.3,36.4,24.2,24.2,71.6,39.7,17.8,13.6,Data
"Tulsa, OK",46140,18.1,29.5,26.9,20.2,24.6,28.0,26.5,33.1,26.5,14.4,20.7,32.7,38.2,40.4,35.5,62.4,8.6,12.9,17.2,17.2,3.2,7.5,9.7,10.8,18.1,10.7,Data
"Fresno, CA",23420,20.8,62.3,59.2,49.0,67.2,82.0,78.7,98.9,138.2,110.1,152.8,101.9,90.8,80.8,97.2,114.7,12.0,16.4,31.7,27.3,26.2,15.3,6.6,22.9,18.3,23.6,Data
"Bridgeport-Stamford-Norwalk, CT",14860,56.1,34.8,47.3,34.9,49.5,34.9,56.2,42.7,97.9,77.6,55.9,76.0,79.4,87.2,65.5,59.9,14.4,27.7,30.0,21.1,11.1,16.6,13.3,15.5,9.8,17.5,Data
"Albuquerque, NM",10740,28.8,76.4,39.1,24.5,33.0,59.9,65.9,39.5,99.4,68.3,42.5,49.6,47.2,83.9,60.6,57.1,12.8,24.5,8.2,26.8,17.5,11.7,15.2,8.2,18.0,39.5,Data
